,Numerator,Denominator,Cosine_Similarity
9711.txt,0.19032440130968212,0.0,inf
5331.txt,1.4249243850765125,0.0,inf
7251.txt,0.14628748141394693,0.0,inf
9755.txt,0.14628748141394693,0.0,inf
9929.txt,0.19032440130968212,0.0,inf
8851.txt,0.33837338768027564,0.0,inf
1419.txt,0.48466086909422257,0.0,inf
5227.txt,0.23436132120541725,0.0,inf
1759.txt,0.48466086909422257,0.0,inf
862.txt,0.14628748141394693,0.0,inf
2699.txt,0.33837338768027564,0.0,inf
8384.txt,0.14628748141394693,0.0,inf
3657.txt,0.33837338768027564,0.0,inf
7494.txt,0.14628748141394693,0.0,inf
3174.txt,0.19032440130968212,0.0,inf
5029.txt,0.14628748141394693,0.0,inf
5644.txt,0.19032440130968212,0.012441100652767167,1.7063380310700826
7537.txt,2.6854566089621885,14.778717963551427,0.6985536383122172
2102.txt,1.4249243850765125,4.357838929979743,0.6825842004556174
9897.txt,2.5752947929336463,18.064265632058245,0.6059221018848794
3845.txt,2.433278233437441,18.731755634477345,0.5622151306946443
7558.txt,1.6170102913428412,8.570612924641056,0.5523404420978136
2625.txt,3.0034124579499517,32.61175772506237,0.5259299149424521
27.txt,2.6494454364545588,25.57146107618441,0.5239347553394939
298.txt,1.9674088737011999,14.831260122681487,0.5108643533180315
4617.txt,2.9161413846019553,33.79093164984559,0.5016588674095683
6141.txt,2.3733626165631354,22.445381079394778,0.5009571802523848
3347.txt,2.6469476824652216,29.519457964513176,0.4871819261072511
8790.txt,2.1922427542178715,24.230089239208557,0.44535992637527183
46.txt,2.8026386190309687,41.81088036181243,0.4334334712818474
1922.txt,2.5520080501354134,36.055216327505036,0.4250088633978506
3739.txt,1.4689613049722476,11.956151518046262,0.4248294847665906
3243.txt,1.93495517886499,21.55989674017625,0.4167230962723918
7707.txt,3.4503028280863495,69.5181667002382,0.4138167436081114
916.txt,2.0019183529081896,23.71729328964688,0.41106812208086657
3563.txt,1.8330946394387897,20.218837421623963,0.4076681638849846
8854.txt,2.9647592315617075,53.06943526547586,0.40697449876374503
5320.txt,1.9532321519744584,23.501171044110574,0.4029109893469305
7469.txt,2.4614364563546056,37.7187462265336,0.4007836576960599
1870.txt,2.2969910697254208,32.99580163760234,0.39988025898174717
5860.txt,1.9674088737011999,24.401076629183283,0.39828149760807946
6061.txt,2.3733626165631354,35.956504282173746,0.39579961375343464
7697.txt,2.3733626165631354,37.238685077236724,0.3889259567352435
9273.txt,1.809832446641861,21.74582720998595,0.38810604172657615
8285.txt,2.048453026793262,27.99479977534527,0.3871571879109179
4782.txt,2.328935674575389,36.90457695507094,0.3833693405441152
5049.txt,1.8796293133238624,24.17209887749524,0.38230944574846226
4570.txt,2.6353644574056965,47.772201363145136,0.38128792980063236
7496.txt,1.2786369036625655,11.34383683543634,0.37963587790396014
3904.txt,2.3959638330702715,40.33945940825772,0.3772378153939053
296.txt,2.1922427542178715,34.68290265269472,0.37224675869082247
